id	name
77	skill_cost_v
78	skill_mintimepercast_v
79	skill_misslesform_v
80	skill_param2_v
81	skill_waittime
82	skill_appendskill
83	skill_end
84	missle_movekind_v
85	missle_lifetime_v
86	missle_damagerange_v
87	missle_missrate
88	missle_reserve3
89	missle_reserve5
90	item_begin
91	weapondamagemax_v
92	durability_v
93	requiredex
94	requireeng
95	requireseries
96	requiremenpai
97	armordefenseenhance_p
98	indestructible_b
99	req_levelortranslife
100	require_fortune_value
101	item_reserve6
102	item_reserve8
103	item_reserve10
104	damage_begin
105	attackrating_p
106	physicsdamage_v
107	firedamage_v
108	poisondamage_v
109	physicsenhance_p
110	stealmana_p
111	knockback_p
112	fatallystrike_p
113	addskillexp1
114	seriesdamage_p
115	damage_reserve5
116	damage_reserve7
117	damage_reserve9
118	damage_end
119	lifemax_v
120	life_v
121	manamax_v
122	mana_v
123	staminamax_v
124	stamina_v
125	strength_v
126	vitality_v
127	poisonres_p
128	lightingres_p
129	coldres_p
130	burntimereduce_p
131	poisondamagereduce_v
132	fastwalkrun_p
133	fasthitrecover_v
134	attackspeed_v
135	meleedamagereturn_v
136	rangedamagereturn_v
137	addphysicsdamage_v
138	addcolddamage_v
139	addpoisondamage_v
140	slowmissle_b
141	physicsarmor_v
142	firearmor_v
143	lightingarmor_v
144	lucky_v
145	stealmanaenhance_p
146	allskill_v
147	woodskill_v
148	fireskill_v
149	knockbackenhance_p
150	stunenhance_p
151	manashield_p
152	adddefense_p
153	lifepotion_v
154	physicsresmax_p
155	fireresmax_p
156	poisonresmax_p
157	coldenhance_p
158	lightingenhance_p
159	magicenhance_p
160	attackratingenhance_p
161	addcoldmagic_v
162	addlightingmagic_v
163	fatallystrikeres_p
164	expenhance_v
165	seriesres_p
166	createnpc
167	dynamicmagicshield_v
168	execscript
169	changefeature2
170	addstealfeatureskill
171	listen_msg
172	ignoreskill_p
173	poisondamagereturn_v
174	autoreplyskill
175	autorescueskill
176	randmove
177	ignorenegativestate_p
178	staticmagicshield_v
179	returnres_p
180	dec_percasttimehorse
181	enhance_709_auto
183	enhance_714_auto
184	enhance_723_miss_p
185	ignoredamage
186	anti_hitrecover
187	anti_poisonres_p
188	anti_lightingres_p
189	anti_coldres_p
190	enhancehit_rate
191	lightingres_yan_p
192	physicsres_yan_p
193	lifemax_yan_v
194	manamax_yan_v
195	sorbdamage_yan_p
196	attackspeed_yan_v
197	allres_yan_p
198	skill_enhance
199	fasthitrecover_yan_v
200	five_elements_resist_v
201	add_damage_p
202	frozen_action
203	invincibility
204	add_boss_damage
205	pk_punish_enhance
206	do_hurt_p
207	do_stun_p
208	anti_physicsres_yan_p
209	anti_coldres_yan_p
210	anti_lightingres_yan_p
211	anti_sorbdamage_yan_p
212	anti_enhancehit_rate
213	transfigure
214	enhancehiteffect_rate
215	metal2medamage_p
216	wood2medamage_p
217	water2medamage_p
218	fire2medamage_p
219	earth2medamage_p
220	rangedamagereturnmana_p
221	reduceskillcd2
222	clearallcd
223	walkrunshadow
224	candetonate1
225	candetonate3
226	melee_returnres_p
227	forbit_usetownportal
228	skillexpbegin
229	addskilldamage2
230	addskilldamage4
231	addskilldamage6
232	skill_startevent
233	skill_collideevent
234	skill_dohurt
235	skill_showevent
238	skillexpend
239	missle_range
240	missle_zspeed
241	missle_param
242	missle_fly
243	missle_vanish
244	missle_exp_rev2
245	missle_exp_rev4
246	missle_exp_end
